time                            horizontal-angle     elevation-angle
2020-11-10 09:58:56.475          -0.000           0.000 
2020-11-10 09:58:57.476          -0.000           0.000 
2020-11-10 09:58:58.477          -0.000           0.000 
2020-11-10 09:58:59.478          -0.000           0.000 
2020-11-10 09:59:00.479          -0.000           0.000 
2020-11-10 09:59:01.479          -0.000           0.000 
2020-11-10 09:59:02.480          -0.000           0.000 
2020-11-10 09:59:03.481          -0.000           0.000 
2020-11-10 09:59:04.482          -0.000           0.000 
2020-11-10 09:59:05.483          -0.000           0.000 
2020-11-10 09:59:06.483          -0.000           0.000 
2020-11-10 09:59:07.484          -0.000           0.000 
2020-11-10 09:59:08.485           0.000           0.000 
2020-11-10 09:59:09.486           0.000           0.000 
2020-11-10 09:59:10.487           0.000           0.000 
2020-11-10 09:59:11.488           0.000           0.000 
2020-11-10 09:59:12.488           0.000           0.000 
2020-11-10 09:59:13.489           0.000           0.000 
2020-11-10 09:59:14.490           0.000           0.000 
2020-11-10 09:59:15.491           0.000           0.000 
2020-11-10 09:59:16.492           0.000           0.000 
2020-11-10 09:59:17.492           0.000           0.000 
2020-11-10 09:59:18.493           0.000           0.000 
2020-11-10 09:59:19.494           0.000           0.000 
2020-11-10 09:59:20.495           0.000           0.000 
2020-11-10 09:59:21.496           0.000           0.000 
2020-11-10 09:59:22.496           0.000           0.000 
2020-11-10 09:59:23.497           0.000           0.000 
2020-11-10 09:59:24.499           0.000           0.000 
2020-11-10 09:59:25.500           0.000           0.000 
2020-11-10 09:59:26.501           0.000           0.000 
2020-11-10 09:59:27.502           0.000           0.000 
2020-11-10 09:59:28.503           0.000           0.000 
2020-11-10 09:59:29.503           0.000           0.000 
2020-11-10 09:59:30.504          -0.000           0.000 
2020-11-10 09:59:31.505          -0.000           0.000 
2020-11-10 09:59:32.506          -0.000           0.000 
2020-11-10 09:59:33.506           0.000           0.000 
2020-11-10 09:59:34.507          -0.000           0.000 
2020-11-10 09:59:35.508          -0.000           0.000 
2020-11-10 09:59:36.509          -0.000           0.000 
2020-11-10 09:59:37.510           0.000           0.000 
2020-11-10 09:59:38.511          -0.000           0.000 
2020-11-10 09:59:39.511          -0.000           0.000 
2020-11-10 09:59:40.512          -0.000           0.000 
2020-11-10 09:59:41.513          -0.000           0.000 
2020-11-10 09:59:42.514          -0.000           0.000 
2020-11-10 09:59:43.515          -0.000           0.000 
2020-11-10 09:59:44.516          -0.000           0.000 
2020-11-10 09:59:45.516          -0.000           0.000 
2020-11-10 09:59:46.517          -0.000           0.000 
2020-11-10 09:59:47.518          -0.000           0.000 
2020-11-10 09:59:48.519          -0.000           0.000 
2020-11-10 09:59:49.519          -0.000           0.000 
2020-11-10 09:59:50.520          -0.000           0.000 
2020-11-10 09:59:51.521          -0.000           0.000 
2020-11-10 09:59:52.522          -0.000           0.000 
2020-11-10 09:59:53.523          -0.000           0.000 
2020-11-10 09:59:54.524          -0.000           0.000 
2020-11-10 09:59:55.525          -0.000           0.000 
2020-11-10 09:59:56.525          -0.000           0.000 
2020-11-10 09:59:57.526          -0.000           0.000 
2020-11-10 09:59:58.527          -0.000           0.000 
2020-11-10 09:59:59.528          -0.000           0.000 
2020-11-10 10:00:00.529          -0.000           0.000 
2020-11-10 10:00:01.529          -0.000           0.000 
2020-11-10 10:00:02.530          -0.000           0.000 
2020-11-10 10:00:03.531          -0.000           0.000 
2020-11-10 10:00:04.532          -0.000           0.000 
2020-11-10 10:00:05.533          -0.000           0.000 
2020-11-10 10:00:06.533          -0.000           0.000 
2020-11-10 10:00:07.534          -0.000           0.000 
2020-11-10 10:00:08.535          -0.000           0.000 
2020-11-10 10:00:09.536          -0.000           0.000 
2020-11-10 10:00:10.537          -0.000           0.000 
2020-11-10 10:00:11.537          -0.000           0.000 
2020-11-10 10:00:12.538          -0.000           0.000 
2020-11-10 10:00:13.539          -0.000           0.000 
2020-11-10 10:00:14.540          -0.000           0.000 
2020-11-10 10:00:15.540          -0.000           0.000 
2020-11-10 10:00:16.541          -0.000           0.000 
2020-11-10 10:00:17.542          -0.000           0.000 
2020-11-10 10:00:18.543          -0.000           0.000 
2020-11-10 10:00:19.544          -0.000           0.000 
2020-11-10 10:00:20.545          -0.000           0.000 
2020-11-10 10:00:21.545          -0.000           0.000 
2020-11-10 10:00:22.546          -0.000           0.000 
2020-11-10 10:00:23.547          -0.000           0.000 
2020-11-10 10:00:24.548          -0.000           0.000 
2020-11-10 10:00:25.549          -0.000           0.000 
2020-11-10 10:00:26.549          -0.000           0.000 
2020-11-10 10:00:27.550          -0.000           0.000 
2020-11-10 10:00:28.551          -0.000           0.000 
2020-11-10 10:00:29.552          -0.000           0.000 
2020-11-10 10:00:30.553          -0.000           0.000 
2020-11-10 10:00:31.553          -0.000           0.000 
2020-11-10 10:00:32.554          -0.000           0.000 
2020-11-10 10:00:33.555          -0.000           0.000 
2020-11-10 10:00:34.556          -0.000           0.000 
2020-11-10 10:00:35.557           1.306           0.000 
2020-11-10 10:00:36.558           5.191           0.000 
2020-11-10 10:00:37.558           9.192           0.000 
2020-11-10 10:00:38.559          13.193           0.000 
2020-11-10 10:00:39.560          17.193           0.000 
2020-11-10 10:00:40.561          21.192           0.000 
2020-11-10 10:00:41.562          25.192          -0.000 
2020-11-10 10:00:42.562          28.951          -0.000 
2020-11-10 10:00:43.563          29.992          -0.000 
2020-11-10 10:00:44.564          30.000          -0.000 
2020-11-10 10:00:45.565          30.000          -0.000 
2020-11-10 10:00:46.565          30.000          -0.000 
2020-11-10 10:00:47.566          30.000          -0.000 
2020-11-10 10:00:48.567          30.000          -0.000 
2020-11-10 10:00:49.568          30.000          -0.000 
2020-11-10 10:00:50.569          30.000          -0.000 
2020-11-10 10:00:51.569          30.000          -0.000 
2020-11-10 10:00:52.570          30.000          -0.000 
2020-11-10 10:00:53.571          30.000          -0.000 
2020-11-10 10:00:54.572          30.000          -0.000 
2020-11-10 10:00:55.573          30.000          -0.000 
2020-11-10 10:00:56.574          30.000          -0.000 
2020-11-10 10:00:57.574          30.000          -0.000 
